<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1971.01.01	0.53690	0.53880	0.53650	0.53870	20	0	50
1971.02.01	0.53860	0.53890	0.53790	0.53790	18	0	50
1971.03.01	0.53830	0.53900	0.53820	0.53870	23	0	50
1971.04.01	0.53880	0.53890	0.53670	0.53840	22	0	50
1971.05.01	0.53850	0.55860	0.53850	0.55140	20	0	50
1971.06.01	0.54780	0.55980	0.54780	0.55920	22	0	50
1971.07.01	0.55920	0.56510	0.55860	0.56510	21	0	50
1971.08.01	0.56490	0.57750	0.56490	0.57550	17	0	50
1971.09.01	0.57580	0.59070	0.57580	0.58960	21	0	50
1971.10.01	0.58890	0.59010	0.58580	0.58580	19	0	50
1971.11.01	0.58650	0.59120	0.58410	0.59040	20	0	50
1971.12.01	0.59210	0.60160	0.59210	0.59810	22	0	50
1972.01.01	0.59770	0.60980	0.59760	0.60920	21	0	50
1972.02.01	0.61070	0.61970	0.61070	0.61490	20	0	50
1972.03.01	0.61490	0.61960	0.59650	0.61740	23	0	50
1972.04.01	0.61750	0.61750	0.61200	0.61500	20	0	50
1972.05.01	0.61510	0.61630	0.61390	0.61570	72	0	50
1972.06.01	0.61550	0.62210	0.61280	0.62060	1652	0	50
1972.07.01	0.62080	0.62130	0.61550	0.61590	840	0	50
1972.08.01	0.61560	0.61570	0.61140	0.61320	773	0	50
1972.09.01	0.61290	0.61440	0.61040	0.61040	350	0	50
1972.10.01	0.60860	0.61170	0.60830	0.61010	1240	0	50
1972.11.01	0.61070	0.61290	0.60920	0.61290	420	0	50
1972.12.01	0.61330	0.61340	0.61020	0.61080	230	0	50
1973.01.01	0.61000	0.62030	0.60850	0.62000	752	0	50
1973.02.01	0.62070	0.69020	0.61890	0.68810	3698	0	50
1973.03.01	0.69870	0.71180	0.68820	0.68840	6512	0	50
1973.04.01	0.68480	0.69310	0.68400	0.68920	2101	0	50
1973.05.01	0.68910	0.72520	0.68550	0.72480	4152	0	50
1973.06.01	0.73100	0.80490	0.72990	0.80390	7551	0	50
1973.07.01	0.81460	0.86450	0.81260	0.84180	13871	0	50
1973.08.01	0.83510	0.83660	0.78810	0.79440	4543	0	50
1973.09.01	0.79780	0.81890	0.79660	0.81010	2679	0	50
1973.10.01	0.81080	0.81930	0.79870	0.79970	3981	0	50
1973.11.01	0.79770	0.79960	0.73340	0.74550	4770	0	50
1973.12.01	0.74460	0.74460	0.72280	0.72300	1440	0	50
1974.01.01	0.70810	0.71070	0.67740	0.70810	11732	0	50
1974.02.01	0.70640	0.73630	0.70640	0.73070	3208	0	50
1974.03.01	0.72900	0.78170	0.72900	0.77280	4881	0	50
1974.04.01	0.76830	0.79890	0.75750	0.79560	3992	0	50
1974.05.01	0.79600	0.81640	0.76570	0.77470	6712	0	50
1974.06.01	0.77780	0.78960	0.75690	0.76750	3650	0	50
1974.07.01	0.76320	0.77980	0.75580	0.75940	3162	0	50
1974.08.01	0.75950	0.76160	0.73420	0.73500	3252	0	50
1974.09.01	0.73590	0.73950	0.73110	0.73740	3660	0	50
1974.10.01	0.73900	0.76500	0.73880	0.75860	3072	0	50
1974.11.01	0.76200	0.80210	0.76190	0.79030	4659	0	50
1974.12.01	0.78310	0.81620	0.78210	0.81110	3121	0	50
1975.01.01	0.81020	0.84980	0.80910	0.83610	6682	0	50
1975.02.01	0.82990	0.85860	0.82160	0.85830	3659	0	50
1975.03.01	0.85900	0.85900	0.83080	0.83390	3761	0	50
1975.04.01	0.83690	0.83690	0.81530	0.82220	3432	0	50
1975.05.01	0.82220	0.84290	0.82070	0.83520	5221	0	50
1975.06.01	0.83640	0.83980	0.82880	0.82960	3411	0	50
1975.07.01	0.82640	0.82710	0.76130	0.76160	5672	0	50
1975.08.01	0.76170	0.76640	0.75440	0.75730	4171	0	50
1975.09.01	0.75760	0.75980	0.73210	0.73830	2741	0	50
1975.10.01	0.74940	0.76540	0.74300	0.76460	4652	0	50
1975.11.01	0.76550	0.76550	0.74490	0.74530	2668	0	50
1975.12.01	0.74780	0.75020	0.74110	0.74650	1172	0	50
1976.01.01	0.74680	0.75590	0.74660	0.75570	1451	0	50
1976.02.01	0.76150	0.77200	0.75900	0.76140	888	0	50
1976.03.01	0.75810	0.77330	0.75790	0.76990	2073	0	50
1976.04.01	0.77400	0.77420	0.76790	0.77120	1032	0	50
1976.05.01	0.77170	0.77230	0.75410	0.75440	1040	0	50
1976.06.01	0.75360	0.76190	0.75320	0.75940	1212	0	50
1976.07.01	0.75890	0.76930	0.75740	0.76920	1141	0	50
1976.08.01	0.77130	0.78020	0.76800	0.77350	1152	0	50
1976.09.01	0.77590	0.80350	0.77510	0.80350	1221	0	50
1976.10.01	0.79920	0.81630	0.79510	0.81500	1090	0	50
1976.11.01	0.81100	0.81490	0.80710	0.81340	790	0	50
1976.12.01	0.80990	0.83040	0.80990	0.82870	953	0	50
1977.01.01	0.83440	0.83570	0.80440	0.81230	1601	0	50
