open,close
1.1471,1.1679
1.1677,1.1825
1.1821,1.1881
1.1879,1.2325
1.2324,1.2436
1.2445,1.2369
1.2367,1.2612
1.2608,1.3017
1.3015,1.2468
1.2467,1.2622
1.2626,1.2834
1.2825,1.3401
1.3397,1.4289
1.4289,1.4086
1.4087,1.3814
1.3822,1.4152
1.415,1.4102
1.4103,1.3325
1.3328,1.3696
1.3687,1.3875
1.3876,1.3529
1.3526,1.3603
1.3617,1.3151
1.3142,1.328
1.3278,1.3224
1.3226,1.2769
1.2768,1.2839
1.2839,1.2809
1.2809,1.3289
1.3288,1.3189
1.3189,1.2837
1.2837,1.2887
1.2886,1.2704
1.2717,1.2687
1.2673,1.1948
1.1924,1.1572
1.155,1.1682
1.1682,1.1304
1.1302,1.1454
1.1456,1.1213
1.121,1.0638
1.0634,1.0819
1.0788,1.1113
1.1113,1.1334
1.134,1.1091
1.1097,1.0874
1.088,1.0686
1.0672,1.0767
1.0778,1.0769
1.0755,1.1025
1.101,1.1034
1.101,1.0983
1.0959,1.11
1.108,1.1306
1.129,1.1801
1.1777,1.1902
1.1905,1.16
1.1595,1.1724
1.1795,1.1368
1.138,1.1029
1.0992,1.0762
1.0764,1.0575
1.0589,1.042
1.0424,1.0359
1.0361,1.0708
1.0697,1.0564
1.0564,1.0678
1.068,1.0521
1.0536,1.0088
1.0086,1.0086
1.008,0.9711
0.9711,0.9626
0.9628,0.9576
0.9568,0.9112
0.9113,0.9365
0.9363,0.9527
0.9524,0.9269
0.9265,0.8888
0.8885,0.8848
0.8838,0.8491
0.8481,0.8729
0.8719,0.9426
0.9424,0.9379
0.9375,0.9239
0.9229,0.876
0.874,0.8893
0.8894,0.8444
0.8454,0.8494
0.8505,0.8763
0.8764,0.9126
0.9094,0.9114
0.9116,0.9002
0.9003,0.8966
0.8957,0.8897
0.8907,0.8593
0.8594,0.8693
0.8694,0.8723
0.8715,0.9004
0.9005,0.934
0.9326,0.9912
0.9912,0.9771
0.9773,0.9822
0.9823,0.9867
0.9866,0.9906
0.9905,0.9949
0.9944,1.0488
1.0498,1.077
1.079,1.0808
1.0782,1.0915
1.0919,1.1183
1.1184,1.1774
1.1719,1.1524
1.1525,1.1233
1.1233,1.0983
1.0987,1.1653
1.1654,1.1593
1.1579,1.1996
1.1989,1.2597
1.2597,1.2477
1.248,1.2492
1.2481,1.2316
1.2317,1.198
1.1992,1.2192
1.2193,1.2186
1.2187,1.2023
1.2067,1.218
1.218,1.2429
1.243,1.2796
1.2816,1.3288
